,artist_name,artist_id,genres,followers,popularity
3MUdgXiK4YS3JF0IxaZbYG,Arbalest,Arbalest,3MUdgXiK4YS3JF0IxaZbYG,['deep metalcore'],"{'href': None, 'total': 139}",2
6Xr8PSiNQD9A8C8QWU6wdx,Blood Loss,Blood Loss,6Xr8PSiNQD9A8C8QWU6wdx,['colorado hardcore'],"{'href': None, 'total': 159}",0
3LAz0j5cJ97buyp3QR5zVO,Two Old Men,Two Old Men,3LAz0j5cJ97buyp3QR5zVO,['brazilian groove metal'],"{'href': None, 'total': 27}",0
61830nPl3j2Nw2R2X72ihn,Winterstorm,Winterstorm,61830nPl3j2Nw2R2X72ihn,"['german metal', 'german power metal', 'symphonic power metal']","{'href': None, 'total': 8013}",22
2SNeb0ZOOiJx9PfyIgnQlx,Kuolemanlaakso,Kuolemanlaakso,2SNeb0ZOOiJx9PfyIgnQlx,"['finnish death metal', 'finnish doom metal', 'finnish metal']","{'href': None, 'total': 3867}",16
7dlsGRWzQNOxiTplMW87mj,Outre,Outre,7dlsGRWzQNOxiTplMW87mj,"['polish black metal', 'technical black metal', 'voidgaze']","{'href': None, 'total': 4488}",3
4O6RDLeFX5xuQ7IePFzVcl,Demons & Wizards,Demons & Wizards,4O6RDLeFX5xuQ7IePFzVcl,"['german metal', 'german power metal', 'melodic metal', 'metal', 'neo classical metal', 'power metal']","{'href': None, 'total': 112165}",38
0IlftBjVJH4lyo7QXU1714,Synthetic Breed,Synthetic Breed,0IlftBjVJH4lyo7QXU1714,"['cyber metal', 'cyberpunk', 'djent']","{'href': None, 'total': 2626}",4
0gpl9b20UVsSvZwBuAkpve,Abysmal Depths,Abysmal Depths,0gpl9b20UVsSvZwBuAkpve,['mexican black metal'],"{'href': None, 'total': 117}",0
3ShmNDvaMhctjrgJuTYO1I,Eardelete,EarDelete,3ShmNDvaMhctjrgJuTYO1I,"['goregrind', 'pornogrind']","{'href': None, 'total': 2616}",4
37ilvbLm9xsGdIEIHM7oEN,Mindgrinder,MindGrinder,37ilvbLm9xsGdIEIHM7oEN,['norwegian death metal'],"{'href': None, 'total': 172}",0
61H16FOvCJP2HfCIvfWlvw,Moments Till Fall,Moments Till Fall,61H16FOvCJP2HfCIvfWlvw,['technical melodic death metal'],"{'href': None, 'total': 175}",0
7dfpBi0QvO9FmlhBK6XHwJ,Distant,Distant,7dfpBi0QvO9FmlhBK6XHwJ,"['deathcore', 'downtempo deathcore', 'progressive deathcore', 'slamming deathcore']","{'href': None, 'total': 36465}",40
2uuHv5cALJvRWZ54CzpPlN,Gastrorrexis,Gastrorrexis,2uuHv5cALJvRWZ54CzpPlN,['metal ecuatoriano'],"{'href': None, 'total': 1975}",3
7AvEVZeIPTqRE7y4QFk09A,Trust,TRUST,7AvEVZeIPTqRE7y4QFk09A,['french rock'],"{'href': None, 'total': 41129}",39
3wUmKA5BbvG5br8dLIWwVK,Sidious,Sidious,3wUmKA5BbvG5br8dLIWwVK,"['charred death', 'symphonic death metal']","{'href': None, 'total': 1001}",4
13NWXNFkLPeKwVTNCwzVCj,Earthmover,Earthmover,13NWXNFkLPeKwVTNCwzVCj,"['southeast asian post-rock', 'vegan straight edge']","{'href': None, 'total': 2615}",5
5jn6hCsA7to0ed1JmjvgOK,Cold Sweat,Cold Sweat,5jn6hCsA7to0ed1JmjvgOK,['slash punk'],"{'href': None, 'total': 911}",6
0eCa6Fa6xYn5RisV6orO7w,Astharoth,Astharoth,0eCa6Fa6xYn5RisV6orO7w,['polish thrash metal'],"{'href': None, 'total': 85}",0
6KSAWLPm8DQvNQ9ufaVkxZ,Dysmorfectomy,dysmorfectomy,6KSAWLPm8DQvNQ9ufaVkxZ,['slam death metal'],"{'href': None, 'total': 3326}",7
56F64pmwSSCcmS1CxAnPk8,Pro-Pain,Pro-Pain,56F64pmwSSCcmS1CxAnPk8,"['groove metal', 'hardcore', 'old school thrash']","{'href': None, 'total': 61556}",30
0OUxaa0EFiWKUHtj13527K,Sutrah,Sutrah,0OUxaa0EFiWKUHtj13527K,['progressive technical death metal'],"{'href': None, 'total': 1929}",4
5zhZkoIkHQ4MNC9fovOSwF,Drephjard,Drephjard,5zhZkoIkHQ4MNC9fovOSwF,['norwegian black metal'],"{'href': None, 'total': 157}",0
3et9upNERQI5IYt5jEDTxM,Thy Art Is Murder,Thy Art Is Murder,3et9upNERQI5IYt5jEDTxM,"['australian metal', 'australian metalcore', 'deathcore', 'melodic metalcore', 'metalcore']","{'href': None, 'total': 392955}",52
0ilL0BRNYB3gUv6ImYBzHX,Vermen,Vermen,0ilL0BRNYB3gUv6ImYBzHX,['portuguese metal'],"{'href': None, 'total': 26}",0
0NmYchKQ8JIR9QHYJA0FRe,Overkill,Overkill,0NmYchKQ8JIR9QHYJA0FRe,"['death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'speed metal', 'thrash metal']","{'href': None, 'total': 482047}",44
0BwXOpERhu9bHohSiSydZ5,Scarred by Beauty,Scarred By Beauty,0BwXOpERhu9bHohSiSydZ5,"['danish hardcore', 'danish metal', 'deep melodic metalcore']","{'href': None, 'total': 693}",2
6H0mDgeI75tJwpUaLdvI0Q,Excessum,Excessum,6H0mDgeI75tJwpUaLdvI0Q,"['alabama metal', 'dark black metal']","{'href': None, 'total': 2293}",15
1NFSdJQtgerIOjbqEyZngn,Evoked,Evoked,1NFSdJQtgerIOjbqEyZngn,['german death metal'],"{'href': None, 'total': 374}",0
1IWIRvfOXab9KISw9CVidO,Evoked,Evoked,1IWIRvfOXab9KISw9CVidO,['wisconsin metal'],"{'href': None, 'total': 12}",0
36YXY7XljXsKAcfpLTmAt1,Doomocracy,Doomocracy,36YXY7XljXsKAcfpLTmAt1,['epic doom'],"{'href': None, 'total': 868}",13
2qObK3tMlOU91MRnXf60ab,Suicidal Inc.,Suicidal Inc.,2qObK3tMlOU91MRnXf60ab,['mexican black metal'],"{'href': None, 'total': 368}",2
